ID,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,termDeposit
T42,33,admin.,married,high.school,unknown,yes,no,telephone,may,fri,179,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,0
T43,33,admin.,single,high.school,no,no,no,cellular,apr,fri,405,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
T44,53,technician,married,professional.course,unknown,no,yes,cellular,jul,fri,118,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
T45,38,admin.,divorced,university.degree,no,yes,no,telephone,oct,mon,293,3,999,0,nonexistent,-1.1,94.601,-49.5,1.032,4963.6,0
T46,35,management,single,high.school,no,yes,no,cellular,may,fri,345,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0
T47,50,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,249,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
T48,98,retired,married,basic.4y,unknown,yes,no,cellular,oct,fri,476,1,2,2,success,-3.4,92.431,-26.9,0.73,5017.5,1
T49,43,admin.,single,high.school,no,no,no,cellular,jul,tue,120,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
T50,30,student,single,unknown,no,no,no,cellular,dec,wed,343,1,4,2,success,-3,92.713,-33,0.715,5023.5,1
T51,52,technician,married,university.degree,no,no,no,cellular,may,thu,211,1,3,4,success,-1.8,93.876,-40,0.677,5008.7,1
T52,38,blue-collar,single,high.school,no,no,no,telephone,mar,tue,450,3,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,1
T53,36,management,married,university.degree,no,yes,no,cellular,jun,thu,156,1,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,1
T54,28,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,52,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
T55,47,admin.,divorced,high.school,no,yes,no,telephone,jun,mon,302,1,999,0,nonexistent,-1.7,94.055,-39.8,0.711,4991.6,1
T56,37,entrepreneur,single,university.degree,no,yes,no,telephone,may,mon,744,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
T57,42,management,married,basic.9y,no,yes,no,cellular,jul,thu,253,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
T58,42,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,mon,175,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
T59,28,student,single,unknown,no,no,no,cellular,aug,thu,700,4,999,1,failure,-2.9,92.201,-31.4,0.829,5076.2,1
T60,40,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,124,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
T61,64,retired,married,university.degree,no,no,no,cellular,mar,tue,139,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1
T62,40,blue-collar,divorced,unknown,no,yes,no,cellular,jul,tue,160,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
T63,31,admin.,single,university.degree,no,yes,no,cellular,nov,thu,260,1,999,0,nonexistent,-1.1,94.767,-50.8,1.041,4963.6,1
T64,31,technician,married,professional.course,no,no,no,telephone,jun,fri,163,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
T65,20,student,single,unknown,no,no,no,cellular,may,tue,202,2,12,1,success,-1.8,93.876,-40,0.697,5008.7,1
T66,33,management,single,professional.course,no,yes,no,cellular,nov,thu,8,6,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
T67,38,admin.,married,university.degree,no,no,no,telephone,jun,fri,52,13,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
T68,60,blue-collar,married,professional.course,no,yes,no,cellular,apr,wed,545,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
T69,32,management,divorced,university.degree,no,no,no,cellular,jul,tue,131,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
T70,31,admin.,single,university.degree,no,no,yes,cellular,aug,thu,167,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
T71,49,admin.,married,university.degree,unknown,yes,no,telephone,may,tue,79,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
T72,50,blue-collar,married,unknown,no,no,no,telephone,nov,fri,20,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
T73,39,admin.,married,university.degree,no,no,no,cellular,may,mon,195,5,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
T74,58,services,married,basic.4y,no,no,no,telephone,may,fri,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
T75,41,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
T76,37,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,140,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
T77,24,student,single,high.school,no,no,yes,cellular,apr,thu,209,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
T78,42,technician,married,university.degree,unknown,yes,no,cellular,aug,mon,147,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
T79,31,student,single,unknown,unknown,yes,no,cellular,apr,thu,1156,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,1
T80,43,management,married,university.degree,no,yes,no,cellular,nov,tue,51,4,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
T81,36,entrepreneur,single,university.degree,no,no,no,cellular,may,tue,612,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1
T82,33,admin.,single,university.degree,no,yes,no,cellular,jun,wed,313,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
T83,33,management,divorced,university.degree,no,yes,no,cellular,jun,wed,187,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1
T84,77,retired,married,high.school,no,yes,no,cellular,apr,thu,165,7,999,0,nonexistent,-1.8,93.749,-34.6,0.644,5008.7,1
T85,34,services,married,high.school,no,no,no,telephone,may,thu,791,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,1
T86,31,services,single,high.school,no,yes,no,cellular,nov,thu,452,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
T87,25,self-employed,divorced,university.degree,no,no,no,cellular,apr,mon,241,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
T88,48,technician,married,university.degree,unknown,no,no,cellular,aug,fri,109,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
T89,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,231,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
T90,24,admin.,single,high.school,unknown,no,no,cellular,jul,thu,320,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
T91,46,blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,239,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
T92,40,technician,married,university.degree,unknown,yes,no,cellular,aug,mon,392,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
T93,30,admin.,single,university.degree,no,yes,no,cellular,aug,fri,217,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
T94,37,management,single,university.degree,no,no,no,cellular,oct,thu,570,1,999,1,failure,-3.4,92.431,-26.9,0.74,5017.5,1
T95,37,admin.,married,university.degree,no,no,no,cellular,apr,mon,69,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
T96,22,student,single,high.school,unknown,yes,yes,telephone,may,thu,214,2,1,1,success,-1.8,93.876,-40,0.699,5008.7,1
T97,39,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,206,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
T98,49,services,married,high.school,no,yes,no,telephone,may,wed,214,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
T99,31,technician,single,university.degree,no,yes,no,cellular,may,mon,1514,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,1
T100,33,management,married,university.degree,no,yes,no,cellular,aug,tue,126,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
T101,41,unemployed,married,basic.9y,no,no,no,cellular,nov,thu,597,2,3,2,success,-1.1,94.767,-50.8,1.041,4963.6,1
T102,44,admin.,married,university.degree,no,yes,yes,cellular,apr,fri,274,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
T103,32,blue-collar,married,basic.9y,no,unknown,unknown,cellular,may,thu,1020,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1
T104,58,retired,married,high.school,unknown,yes,no,cellular,aug,thu,194,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
T105,29,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,190,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
T106,53,housemaid,divorced,basic.4y,no,yes,no,telephone,may,fri,422,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
T107,34,technician,divorced,professional.course,no,no,no,telephone,mar,fri,257,1,999,1,failure,-1.8,93.369,-34.8,0.653,5008.7,1
T108,40,admin.,married,high.school,no,yes,yes,cellular,aug,tue,172,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
T109,57,technician,married,professional.course,unknown,yes,no,cellular,jul,mon,54,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
T110,57,services,divorced,basic.4y,no,no,no,cellular,may,thu,161,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
T111,27,technician,single,basic.9y,no,no,yes,cellular,may,mon,701,1,12,1,success,-1.8,92.893,-46.2,1.299,5099.1,1
T112,56,retired,married,basic.6y,no,yes,no,telephone,jun,fri,51,19,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
T113,56,entrepreneur,married,unknown,no,yes,no,cellular,jul,thu,478,2,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,1
T114,31,technician,single,university.degree,no,yes,no,cellular,nov,wed,133,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
T115,52,admin.,married,unknown,no,yes,no,cellular,aug,tue,976,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1
T116,28,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,thu,444,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
T117,31,admin.,divorced,high.school,no,no,no,telephone,may,thu,1207,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,1
T118,33,technician,single,high.school,no,yes,no,cellular,jul,fri,1422,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
T119,32,admin.,married,basic.9y,no,no,no,cellular,jul,mon,77,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
T120,29,technician,single,university.degree,no,no,yes,cellular,nov,thu,57,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
T121,20,student,single,high.school,no,no,yes,cellular,oct,mon,169,1,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,0
T122,36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,180,2,999,2,failure,-1.8,92.893,-46.2,1.281,5099.1,0
T123,27,blue-collar,unknown,high.school,no,no,no,cellular,aug,fri,192,1,4,1,success,-2.9,92.201,-31.4,0.881,5076.2,1
T124,27,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,88,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
T125,35,unemployed,married,professional.course,no,yes,no,cellular,dec,mon,315,1,6,1,success,-3,92.713,-33,0.706,5023.5,1
T126,35,management,divorced,university.degree,no,no,no,cellular,jul,mon,13,20,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
T127,40,technician,married,professional.course,no,yes,no,cellular,aug,mon,146,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
T128,46,self-employed,married,basic.9y,unknown,yes,yes,cellular,aug,wed,102,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
T129,36,management,married,university.degree,no,no,no,cellular,jun,tue,522,1,6,2,success,-1.7,94.055,-39.8,0.737,4991.6,1
T130,34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,85,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
T131,26,admin.,married,high.school,no,yes,no,telephone,apr,mon,216,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0
T132,46,admin.,married,basic.9y,unknown,yes,no,telephone,jun,fri,856,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
T133,80,retired,married,illiterate,unknown,yes,yes,cellular,aug,tue,125,1,6,1,success,-2.9,92.201,-31.4,0.883,5076.2,1
T134,31,technician,married,professional.course,no,no,no,cellular,aug,thu,87,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
T135,47,technician,married,professional.course,no,yes,no,telephone,may,thu,69,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
T136,29,technician,married,university.degree,no,yes,no,cellular,jul,wed,896,2,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,1
T137,25,blue-collar,married,basic.4y,no,no,yes,telephone,jul,thu,1008,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1
T138,35,technician,married,university.degree,no,yes,no,cellular,aug,wed,560,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6,1
T139,28,admin.,married,high.school,no,yes,no,telephone,jul,tue,54,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,0
T140,44,blue-collar,married,basic.6y,no,no,no,cellular,nov,wed,312,3,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
T141,30,admin.,single,high.school,no,no,no,cellular,sep,fri,219,3,6,1,success,-1.1,94.199,-37.5,0.883,4963.6,1
T142,34,blue-collar,single,unknown,no,yes,no,cellular,mar,fri,360,1,999,1,failure,-1.8,93.369,-34.8,0.636,5008.7,1
T143,50,services,single,basic.6y,unknown,yes,no,cellular,apr,thu,429,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
T144,47,admin.,married,high.school,no,yes,no,cellular,aug,mon,1152,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
T145,48,management,divorced,university.degree,no,yes,no,cellular,nov,wed,208,1,3,1,success,-3.4,92.649,-30.1,0.716,5017.5,1
T146,26,admin.,single,basic.9y,no,yes,yes,cellular,jul,tue,687,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1
T147,35,self-employed,married,basic.4y,unknown,no,no,telephone,jun,thu,140,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
T148,28,student,single,high.school,no,no,no,cellular,sep,fri,555,2,999,0,nonexistent,-3.4,92.379,-29.8,0.803,5017.5,1
T149,31,services,single,basic.9y,no,yes,no,cellular,jul,thu,753,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1
T150,43,services,married,basic.6y,no,no,no,cellular,sep,tue,159,1,999,1,failure,-3.4,92.379,-29.8,0.75,5017.5,1
T151,41,services,married,high.school,no,no,no,cellular,may,thu,116,4,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
T152,24,services,single,high.school,no,yes,no,telephone,may,fri,654,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,1
T153,33,services,married,professional.course,no,yes,no,cellular,may,tue,44,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
T154,71,retired,married,university.degree,no,no,no,cellular,apr,mon,349,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
T155,33,admin.,married,high.school,unknown,no,no,cellular,apr,fri,220,6,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
T156,50,self-employed,married,basic.4y,unknown,no,no,cellular,aug,mon,222,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
T157,38,technician,married,professional.course,no,no,no,cellular,mar,thu,106,1,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1,1
T158,30,unemployed,married,professional.course,no,yes,yes,cellular,jun,tue,495,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,0
T159,30,admin.,married,university.degree,no,yes,no,cellular,jun,thu,96,2,4,1,success,-2.9,92.963,-40.8,1.26,5076.2,1
T160,28,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,341,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
T161,44,admin.,divorced,university.degree,unknown,yes,no,telephone,may,fri,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
T162,41,admin.,divorced,high.school,no,no,no,cellular,jul,tue,126,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
T163,27,admin.,single,university.degree,no,no,no,cellular,apr,tue,317,1,12,1,success,-1.8,93.749,-34.6,0.638,5008.7,1
T164,30,admin.,married,university.degree,no,no,no,cellular,apr,tue,259,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,0
T165,26,services,single,high.school,no,yes,no,cellular,jul,tue,98,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,0
T166,51,technician,married,professional.course,no,unknown,unknown,cellular,aug,wed,89,16,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
T167,36,admin.,single,unknown,no,no,no,cellular,jul,tue,133,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
T168,50,services,married,basic.4y,unknown,yes,no,telephone,may,wed,507,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,1
T169,22,services,married,basic.9y,unknown,no,no,telephone,jul,wed,42,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
T170,48,technician,married,professional.course,yes,no,no,cellular,aug,tue,66,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
T171,40,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,111,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
T172,41,admin.,single,university.degree,no,no,no,telephone,jun,mon,367,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
T173,29,technician,married,professional.course,no,yes,no,cellular,aug,thu,965,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,1
T174,57,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,tue,332,5,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
T175,25,admin.,single,university.degree,no,no,yes,cellular,apr,mon,120,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
T176,37,technician,married,university.degree,no,yes,no,cellular,oct,wed,364,1,999,1,failure,-3.4,92.431,-26.9,0.742,5017.5,1
T177,38,blue-collar,divorced,high.school,no,no,no,cellular,may,thu,192,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
T178,27,unknown,single,high.school,unknown,yes,yes,cellular,may,mon,154,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
T179,31,blue-collar,married,basic.9y,no,no,yes,cellular,may,tue,183,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,0
T180,42,retired,divorced,illiterate,no,no,no,telephone,aug,wed,128,3,999,0,nonexistent,-2.9,92.201,-31.4,0.834,5076.2,1
T181,32,management,single,university.degree,no,yes,no,cellular,apr,fri,709,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1
T182,71,retired,married,basic.9y,no,no,no,cellular,oct,fri,131,2,999,0,nonexistent,-3.4,92.431,-26.9,0.752,5017.5,0
T183,60,blue-collar,married,professional.course,no,no,no,telephone,may,tue,59,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
T184,24,admin.,single,high.school,unknown,unknown,unknown,cellular,jul,thu,84,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
T185,31,technician,married,professional.course,no,no,yes,telephone,jun,fri,809,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1
T186,74,retired,divorced,basic.4y,no,yes,no,cellular,oct,mon,180,2,999,0,nonexistent,-1.1,94.601,-49.5,1,4963.6,0
T187,44,admin.,married,university.degree,no,yes,no,cellular,oct,mon,252,1,999,0,nonexistent,-1.1,94.601,-49.5,1,4963.6,1
T188,30,admin.,single,high.school,no,yes,no,telephone,jul,mon,742,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
T189,35,admin.,single,high.school,no,yes,yes,cellular,aug,mon,107,4,2,3,success,-2.9,92.201,-31.4,0.884,5076.2,0
T190,39,blue-collar,married,basic.9y,no,no,no,cellular,jul,tue,231,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
T191,35,admin.,married,high.school,unknown,no,no,telephone,jul,fri,189,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
T192,38,blue-collar,single,basic.9y,unknown,no,no,telephone,may,wed,294,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
T193,44,services,divorced,high.school,no,no,no,telephone,jun,tue,118,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
T194,40,technician,single,unknown,no,yes,no,telephone,jul,wed,145,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
T195,28,admin.,single,university.degree,no,no,no,cellular,aug,fri,262,1,4,2,success,-2.9,92.201,-31.4,0.881,5076.2,1
T196,24,entrepreneur,married,university.degree,unknown,no,no,telephone,may,fri,1193,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
